"REF_DATE","GEO","DGUID","Sexual orientation","Sex","Age group","Selected Sociodemographic characteristics","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271226994","4.1.1.1.5.1","1397000","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271227000","4.1.1.1.6.1","2331200","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271227006","4.1.1.1.7.1","7950800","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271227084","4.1.1.1.20.1","8843700","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271227090","4.1.1.1.21.1","1438300","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271227060","4.1.1.1.16.1","2929200","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271227066","4.1.1.1.17.1","7274900","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271227072","4.1.1.1.18.1","281800","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271227078","4.1.1.1.19.1","9946300","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271227132","4.1.1.1.28.1","8652600","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271227138","4.1.1.1.29.1","157100","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271227144","4.1.1.1.30.1","239400","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271227150","4.1.1.1.31.1","1218000","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271227012","4.1.1.1.8.1","810100","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271227018","4.1.1.1.9.1","1801000","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271227024","4.1.1.1.10.1","6029000","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271227030","4.1.1.1.11.1","1943000","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Household income, second quintile","Number of persons","Number","223","units","0","v1271227036","4.1.1.1.12.1","1943900","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Household income, third quintile","Number of persons","Number","223","units","0","v1271227042","4.1.1.1.13.1","2075700","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Household income, fourth quintile","Number of persons","Number","223","units","0","v1271227048","4.1.1.1.14.1","2102400","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Household income, fifth quintile","Number of persons","Number","223","units","0","v1271227054","4.1.1.1.15.1","2217000","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271227096","4.1.1.1.22.1","7301100","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271227126","4.1.1.1.27.1","2327300","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, full-time","Number of persons","Number","223","units","0","v1271227102","4.1.1.1.23.1","5391300","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, part-time","Number of persons","Number","223","units","0","v1271227108","4.1.1.1.24.1","1136200","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past week (did not have a job)","Number of persons","Number","223","units","0","v1271227120","4.1.1.1.26.1","3096400","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Total population","Number of persons","Number","223","units","0","v1271226970","4.1.1.1.1.1","10282000","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271229208","4.2.1.1.2.1","24500","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271229214","4.2.1.1.3.1","28600","E","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271229220","4.2.1.1.4.1","10300","E","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271229226","4.2.1.1.5.1","56700","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271229232","4.2.1.1.6.1","11500","E","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271229238","4.2.1.1.7.1","132800","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271229316","4.2.1.1.20.1","133600","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271229322","4.2.1.1.21.1","10600","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271229292","4.2.1.1.16.1","29400","E","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271229298","4.2.1.1.17.1","114600","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271229304","4.2.1.1.18.1","5300","E","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271229310","4.2.1.1.19.1","138700","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271229364","4.2.1.1.28.1","121300","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271229370","4.2.1.1.29.1","2200","E","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271229376","4.2.1.1.30.1","","F","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271229382","4.2.1.1.31.1","12000","E","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271229244","4.2.1.1.8.1","6700","E","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271229250","4.2.1.1.9.1","24700","E","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271229256","4.2.1.1.10.1","87700","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271229262","4.2.1.1.11.1","27500","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, second quintile","Number of persons","Number","223","units","0","v1271229268","4.2.1.1.12.1","25800","E","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, third quintile","Number of persons","Number","223","units","0","v1271229274","4.2.1.1.13.1","21000","E","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, fourth quintile","Number of persons","Number","223","units","0","v1271229280","4.2.1.1.14.1","31800","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, fifth quintile","Number of persons","Number","223","units","0","v1271229286","4.2.1.1.15.1","38100","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Worked at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271229328","4.2.1.1.22.1","115000","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Did not work at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271229358","4.2.1.1.27.1","25600","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, full-time","Number of persons","Number","223","units","0","v1271229334","4.2.1.1.23.1","87600","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, part-time","Number of persons","Number","223","units","0","v1271229340","4.2.1.1.24.1","17700","E","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Did not work at a job or business in the past week (did not have a job)","Number of persons","Number","223","units","0","v1271229352","4.2.1.1.26.1","35700","","","","0"
"2015/2018","Ontario","2016A000235","Lesbian or gay","Both sexes","Total, 15 years and over","Total population","Number of persons","Number","223","units","0","v1271229202","4.2.1.1.1.1","144200","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271231440","4.3.1.1.2.1","27900","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271231446","4.3.1.1.3.1","23300","E","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271231452","4.3.1.1.4.1","13500","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271231458","4.3.1.1.5.1","52900","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271231464","4.3.1.1.6.1","34800","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271231470","4.3.1.1.7.1","149700","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271231548","4.3.1.1.20.1","171900","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271231554","4.3.1.1.21.1","12700","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271231524","4.3.1.1.16.1","48300","E","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271231530","4.3.1.1.17.1","135600","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271231536","4.3.1.1.18.1","9000","E","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271231542","4.3.1.1.19.1","174300","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271231596","4.3.1.1.28.1","166700","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271231602","4.3.1.1.29.1","","F","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271231608","4.3.1.1.30.1","5000","E","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271231614","4.3.1.1.31.1","10900","E","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271231476","4.3.1.1.8.1","15000","E","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271231482","4.3.1.1.9.1","19000","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271231488","4.3.1.1.10.1","82600","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271231494","4.3.1.1.11.1","55400","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Household income, second quintile","Number of persons","Number","223","units","0","v1271231500","4.3.1.1.12.1","38700","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Household income, third quintile","Number of persons","Number","223","units","0","v1271231506","4.3.1.1.13.1","35800","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Household income, fourth quintile","Number of persons","Number","223","units","0","v1271231512","4.3.1.1.14.1","32800","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Household income, fifth quintile","Number of persons","Number","223","units","0","v1271231518","4.3.1.1.15.1","21800","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271231560","4.3.1.1.22.1","130600","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271231590","4.3.1.1.27.1","46200","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, full-time","Number of persons","Number","223","units","0","v1271231566","4.3.1.1.23.1","78200","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, part-time","Number of persons","Number","223","units","0","v1271231572","4.3.1.1.24.1","28600","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past week (did not have a job)","Number of persons","Number","223","units","0","v1271231584","4.3.1.1.26.1","69900","","","","0"
"2015/2018","Ontario","2016A000235","Bisexual","Both sexes","Total, 15 years and over","Total population","Number of persons","Number","223","units","0","v1271231434","4.3.1.1.1.1","184500","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271233672","5.1.1.1.2.1","2632000","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271233678","5.1.1.1.3.1","397600","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271233684","5.1.1.1.4.1","528300","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271233690","5.1.1.1.5.1","626700","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271233696","5.1.1.1.6.1","1277700","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271233702","5.1.1.1.7.1","3592400","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271233780","5.1.1.1.20.1","3995600","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271233786","5.1.1.1.21.1","874500","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271233756","5.1.1.1.16.1","944400","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271233762","5.1.1.1.17.1","3911000","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271233768","5.1.1.1.18.1","323700","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271233774","5.1.1.1.19.1","4529000","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271233828","5.1.1.1.28.1","4358400","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271233834","5.1.1.1.29.1","25300","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271233840","5.1.1.1.30.1","59300","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271233846","5.1.1.1.31.1","424400","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271233708","5.1.1.1.8.1","429700","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271233714","5.1.1.1.9.1","972000","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271233720","5.1.1.1.10.1","2717700","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271233726","5.1.1.1.11.1","711300","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Household income, second quintile","Number of persons","Number","223","units","0","v1271233732","5.1.1.1.12.1","827100","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Household income, third quintile","Number of persons","Number","223","units","0","v1271233738","5.1.1.1.13.1","955800","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Household income, fourth quintile","Number of persons","Number","223","units","0","v1271233744","5.1.1.1.14.1","1045400","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Household income, fifth quintile","Number of persons","Number","223","units","0","v1271233750","5.1.1.1.15.1","1330600","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271233792","5.1.1.1.22.1","3687900","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271233822","5.1.1.1.27.1","921100","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, full-time","Number of persons","Number","223","units","0","v1271233798","5.1.1.1.23.1","2721200","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, part-time","Number of persons","Number","223","units","0","v1271233804","5.1.1.1.24.1","554500","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past week (did not have a job)","Number of persons","Number","223","units","0","v1271233816","5.1.1.1.26.1","1304200","","","","0"
"2015/2018","Prairie provinces","2016A00014","Heterosexual","Both sexes","Total, 15 years and over","Total population","Number of persons","Number","223","units","0","v1271233666","5.1.1.1.1.1","4870100","","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271235904","5.2.1.1.2.1","8200","E","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271235910","5.2.1.1.3.1","9800","E","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271235916","5.2.1.1.4.1","3200","E","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271235922","5.2.1.1.5.1","16900","","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271235928","5.2.1.1.6.1","6200","E","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271235934","5.2.1.1.7.1","44600","","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271236012","5.2.1.1.20.1","44800","","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271236018","5.2.1.1.21.1","6000","E","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271235988","5.2.1.1.16.1","11400","E","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271235994","5.2.1.1.17.1","39500","","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271236000","5.2.1.1.18.1","4200","E","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271236006","5.2.1.1.19.1","46500","","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271236060","5.2.1.1.28.1","46300","","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271236066","5.2.1.1.29.1","","F","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271236072","5.2.1.1.30.1","","F","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271236078","5.2.1.1.31.1","3300","E","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271235940","5.2.1.1.8.1","2200","E","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271235946","5.2.1.1.9.1","8100","","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271235952","5.2.1.1.10.1","26900","","","","0"
"2015/2018","Prairie provinces","2016A00014","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271235958","5.2.1.1.11.1","6900","E","","","0"
